time_step,time_hours,zone,demand,thermal,nuclear,solar,wind,solar_spill,wind_spill,hydro_release,hydro_ror,hydro_spill,battery_charge,battery_discharge,battery_soc,pumped_charge,pumped_discharge,pumped_level,demand_response,unserved,overgen_spill
1,0.25,R2Z5,112.23809749348003,0.0,0.0,4.491723354801223,66.2370008278707,-5.329070518200751e-15,0.0,0.0,34.66266992739719,0.0,90.0,27.631751057513085,158.62374426007392,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z1,114.64562670531706,0.0,0.0,12.561501907680125,77.55927196733124,-7.105427357601002e-15,0.0,0.0,34.66266992739719,0.0,45.0,0.0,97.12622421891332,0.0,80.0,396.4889699502759,0.0,0.0,0.0
1,0.25,R3Z2,142.03498340738787,0.0,0.0,2.7902173092443903,33.724255915037354,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,90.0,61.695877352642135,156.87857620756031,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z3,111.7536580946113,0.0,0.0,23.40810342242881,113.2156059168538,-1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z4,148.26928571012792,0.0,0.0,7.132177876789967,82.12041210643838,1.7763568394002505e-15,0.0,0.0,0.0,0.0,90.0,90.0,145.53170027237863,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z5,73.08790576911784,0.0,0.0,5.988724012461347,43.81193679923405,1.7763568394002505e-15,0.0,0.0,69.32533985479438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z6,135.46976578444423,0.0,0.0,19.752723657223328,180.93445092454658,0.0,0.0,0.0,69.32533985479438,0.0,45.0,45.0,82.38353077115377,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z7,99.56018814536775,0.0,0.0,7.397551309293817,26.88890964498666,1.7763568394002505e-15,0.0,0.0,0.0,0.0,45.0,3.703917589688081,62.42603974618477,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z8,133.97700343933838,0.0,0.0,18.015678953525523,127.23395212311875,3.552713678800501e-15,0.0,0.0,69.32533985479438,0.0,45.0,28.72737540493882,79.20187363293093,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R3Z9,117.7372623056059,0.0,0.0,2.653865424484067,76.18640742477447,-3.1086244689504383e-15,0.0,0.0,69.32533985479438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
